Табельный номер,Фамилия И. О.,Пол,Год рождения,Начало работы (год),Подразделение,Должность,Оклад,Количество выполненных проектов
595,Р. В. Цымбулов,М,1985,2005,Аэрометрические системы воздушных сигналов,Начальник ТКБ,43055,8
596,В. Н. Словянских,Ж,1981,2001,Системы автоматизированного управления наземной техникой,Инженер-исследователь,21312,17
597,С. А. Шеботинова,Ж,1976,1996,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,48216,20
598,К. Л. Алназарова,Ж,2000,2020,Системы автоматизированного управления наземной техникой,Экономист,56979,17
599,Е. А. Бутарина,Ж,1981,2001,Проектирование и верификация программно-математического обеспечения,Бухгалтер,46961,16
600,В. В. Опокина,Ж,1997,2017,Информационно-управляющие системы для вертолетов,Техник,34336,2
601,С. Ф. Шишмолкина,Ж,2000,2020,Аэрометрические системы воздушных сигналов,Бухгалтер,27597,13
602,Г. К. Сивбянова,Ж,1994,2014,Отдел кадров,Бухгалтер,30242,19
603,Д. Д. Грявцева,Ж,1986,2006,Отдел кадров,Экономист,45582,4
604,Г. Б. Баричева,Ж,1976,1996,Аэрометрические системы воздушных сигналов,Инженер,38296,11
605,О. И. Никишкова,Ж,1980,2000,Проектирование и верификация программно-математического обеспечения,Техник,56528,15
606,Л. А. Харнашова,Ж,2001,2021,Проектирование и верификация программно-математического обеспечения,Начальник отдела,27778,15
607,А. Э. Чечилова,Ж,1969,1989,Проектирование и верификация программно-математического обеспечения,Техник,36056,12
608,Л. А. Аюкова,Ж,1961,1981,Системы автоматизированного управления наземной техникой,Начальник ТКБ,35688,9
609,А. Б. Грачевская,Ж,1975,1995,Отдел охраны труда,Инженер,38168,11
610,Ж. П. Бузеева,Ж,1997,2017,Информационно-управляющие системы для самолетов,Начальник ТКБ,44865,8
611,А. Б. Насимова,Ж,1974,1994,Аэрометрические системы воздушных сигналов,Инженер,31585,14
612,А. Б. Можнова,Ж,1965,1985,Информационно-управляющие системы для самолетов,Инженер-программист,21789,6
613,И. В. Андрющина,Ж,1990,2010,Радиоэлектронная аппаратура,Начальник отдела,59109,17
614,К. Н. Риднова,Ж,1993,2013,Проектирование и верификация программно-математического обеспечения,Начальник отдела,45928,12
615,А. Е. Павлдова,Ж,1984,2004,Аэрометрические системы воздушных сигналов,Инженер-исследователь,49260,12
616,Е. Я. Автомонова,Ж,1982,2002,Информационно-управляющие системы для вертолетов,Инженер,49099,16
617,В. А. Янбухтина,Ж,1995,2015,Отдел охраны труда,Начальник ТКБ,54312,19
618,Н. С. Пыткеева,Ж,1983,2003,Радиоэлектронная аппаратура,Инженер-программист,53213,9
619,К. И. Примушева,Ж,1999,2019,Отдел охраны труда,Инженер,38578,2
620,О. В. Бетева,Ж,1980,2000,Аэрометрические системы воздушных сигналов,Бухгалтер,55162,20
621,С. П. Кизимова,Ж,1962,1982,Системы автоматизированного управления наземной техникой,Инженер,41648,3
622,Е. И. Клементова,Ж,1996,2016,Отдел охраны труда,Инженер-исследователь,51576,17
623,А. В. Трефахина,Ж,1999,2019,Информационно-управляющие системы для самолетов,Начальник ТКБ,31646,10
624,К. И. Амочаева,Ж,1965,1985,Радиоэлектронная аппаратура,Инженер-исследователь,27062,3
625,А. Ф. Тумкина,Ж,1985,2005,Радиоэлектронная аппаратура,Начальник отдела,32664,4
626,Е. Ф. Цуккрова,Ж,1970,1990,Аэрометрические системы воздушных сигналов,Инженер,49997,7
627,А. Е. Киднярова,Ж,1992,2012,Информационно-управляющие системы для самолетов,Начальник отдела,36341,19
628,Н. И. Пыткина,Ж,1978,1998,Отдел охраны труда,Бухгалтер,21195,18
629,А. Е. Бирылова,Ж,1994,2014,Информационно-управляющие системы для самолетов,Начальник отдела,46612,2
630,К. М. Сорочинова,Ж,1983,2003,Аэрометрические системы воздушных сигналов,Начальник отдела,27967,5
631,А. Н. Горозеева,Ж,1998,2018,Системы автоматизированного управления наземной техникой,Инженер-программист,32857,9
632,П. М. Кеманова,Ж,2001,2021,Отдел охраны труда,Инженер-исследователь,34163,13
633,А. Б. Орудина,Ж,1987,2007,Системы автоматизированного управления наземной техникой,Инженер-исследователь,54107,14
634,А. Е. Завулунова,Ж,1969,1989,Радиоэлектронная аппаратура,Инженер-программист,55594,8
635,В. Д. Васенина,Ж,1991,2011,Отдел кадров,Инженер-исследователь,39445,2
636,Я. Л. Култышкина,Ж,1983,2003,Информационно-управляющие системы для самолетов,Инженер-исследователь,26136,11
637,П. Д. Абуллина,Ж,1976,1996,Информационно-управляющие системы для самолетов,Начальник отдела,52354,9
638,И. Я. Перстина,Ж,1967,1987,Информационно-управляющие системы для вертолетов,Инженер-программист,49026,11
639,К. Р. Демянова,Ж,1978,1998,Отдел охраны труда,Начальник отдела,40957,6
640,В. А. Восторгина,Ж,1967,1987,Радиоэлектронная аппаратура,Начальник ТКБ,42321,20
641,Н. Э. Дынова,Ж,1992,2012,Отдел кадров,Инженер-исследователь,30095,18
642,В. Я. Лакаева,Ж,1985,2005,Аэрометрические системы воздушных сигналов,Инженер-программист,45431,2
643,К. Л. Сюракшина,Ж,1970,1990,Информационно-управляющие системы для самолетов,Инженер-программист,59617,10
644,Е. Ф. Галишева,Ж,1995,2015,Информационно-управляющие системы для самолетов,Инженер,52838,5
645,К. А. Балахнева,Ж,1966,1986,Отдел охраны труда,Инженер,41396,5
646,К. К. Гуржиева,Ж,1976,1996,Отдел кадров,Инженер-исследователь,45164,18
647,К. Д. Стрелюхина,Ж,1978,1998,Информационно-управляющие системы для вертолетов,Инженер-программист,22819,18
648,П. Н. Егоровская,Ж,1999,2019,Отдел охраны труда,Экономист,29970,7
649,А. Э. Дружнева,Ж,1982,2002,Отдел охраны труда,Бухгалтер,44797,12
650,В. П. Бурдонова,Ж,1995,2015,Радиоэлектронная аппаратура,Инженер,23724,10
651,З. И. Мановцева,Ж,1967,1987,Радиоэлектронная аппаратура,Техник,41694,8
652,К. Д. Китнина,Ж,1979,1999,Проектирование и верификация программно-математического обеспечения,Экономист,59077,6
653,Е. С. Огороднова,Ж,1985,2005,Системы автоматизированного управления наземной техникой,Инженер,25167,15
654,Н. Я. Тиканова,Ж,1973,1993,Информационно-управляющие системы для вертолетов,Инженер,27305,5
655,А. Я. Бармалева,Ж,1983,2003,Аэрометрические системы воздушных сигналов,Бухгалтер,29099,13
656,Л. А. Лаушина,Ж,2001,2021,Проектирование и верификация программно-математического обеспечения,Экономист,23903,7
657,К. Д. Меиельская,Ж,1999,2019,Отдел кадров,Инженер,21651,9
658,К. С. Кулишова,Ж,1978,1998,Отдел охраны труда,Инженер-программист,31043,5
659,К. В. Чимкина,Ж,1996,2016,Системы автоматизированного управления наземной техникой,Инженер,59613,14
660,Е. Ф. Плакхина,Ж,2000,2020,Информационно-управляющие системы для вертолетов,Начальник отдела,40287,7
661,Т. Я. Бонкина,Ж,1982,2002,Отдел кадров,Начальник отдела,36542,3
662,И. И. Ситская,Ж,1997,2017,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,26512,6
663,К. Е. Носанина,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Техник,27750,14
664,И. В. Гамачина,Ж,2001,2021,Системы автоматизированного управления наземной техникой,Экономист,52046,3
665,З. М. Зынина,Ж,1996,2016,Информационно-управляющие системы для вертолетов,Инженер,40506,5
666,О. В. Матяшина,Ж,1980,2000,Аэрометрические системы воздушных сигналов,Начальник отдела,43884,19
667,Н. А. Сардеева,Ж,1976,1996,Информационно-управляющие системы для вертолетов,Начальник отдела,53790,4
668,М. П. Мастерских,Ж,1991,2011,Информационно-управляющие системы для самолетов,Инженер-исследователь,58754,19
669,Л. П. Буторагина,Ж,1981,2001,Аэрометрические системы воздушных сигналов,Бухгалтер,35074,17
670,Р. Б. Волженкова,Ж,1977,1997,Отдел охраны труда,Экономист,49021,7
671,К. Ф. Оверчукова,Ж,1978,1998,Информационно-управляющие системы для самолетов,Экономист,43333,4
672,О. Л. Бакелина,Ж,1997,2017,Системы автоматизированного управления наземной техникой,Экономист,59485,8
673,А. О. Яфясова,Ж,1975,1995,Аэрометрические системы воздушных сигналов,Начальник ТКБ,51810,17
674,К. Р. Питюрина,Ж,1992,2012,Отдел охраны труда,Инженер-исследователь,55534,17
675,Ю. Э. Лопынгина,Ж,1987,2007,Радиоэлектронная аппаратура,Инженер-исследователь,50014,6
676,О. Б. Дульцева,Ж,1970,1990,Отдел кадров,Инженер,35542,16
677,М. Д. Курсеева,Ж,1974,1994,Информационно-управляющие системы для вертолетов,Начальник ТКБ,28677,15
678,Т. А. Питухина,Ж,1982,2002,Отдел охраны труда,Инженер,37794,11
679,М. В. Ребинькова,Ж,1972,1992,Радиоэлектронная аппаратура,Бухгалтер,37499,9
680,В. Е. Шурукина,Ж,1991,2011,Информационно-управляющие системы для вертолетов,Инженер-программист,24940,20
681,К. А. Паджева,Ж,1983,2003,Аэрометрические системы воздушных сигналов,Инженер-исследователь,56834,9
682,С. В. Смактина,Ж,1983,2003,Системы автоматизированного управления наземной техникой,Экономист,36640,1
683,А. М. Ляченкова,Ж,1969,1989,Системы автоматизированного управления наземной техникой,Инженер-исследователь,36030,4
684,А. Н. Вовейкина,Ж,1993,2013,Аэрометрические системы воздушных сигналов,Инженер-исследователь,29679,15
685,А. М. Пегина,Ж,1971,1991,Информационно-управляющие системы для самолетов,Начальник отдела,39805,8
686,Н. Ф. Драбижева,Ж,1998,2018,Информационно-управляющие системы для вертолетов,Экономист,59409,15
687,К. Л. Надворская,Ж,1971,1991,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,30430,1
688,П. Е. Чекмарева,Ж,1984,2004,Информационно-управляющие системы для самолетов,Бухгалтер,54800,5
689,К. Э. Лотарева,Ж,1962,1982,Аэрометрические системы воздушных сигналов,Инженер-программист,42667,6
690,П. Л. Шерщикова,Ж,1968,1988,Информационно-управляющие системы для вертолетов,Инженер,26312,10
691,В. М. Рафаилова,Ж,1971,1991,Отдел кадров,Бухгалтер,43739,1
692,Н. Р. Кулалаева,Ж,1985,2005,Радиоэлектронная аппаратура,Начальник ТКБ,41522,4
693,Ю. А. Галенских,Ж,1976,1996,Системы автоматизированного управления наземной техникой,Начальник отдела,38503,4
694,А. Н. Шутылева,Ж,1986,2006,Отдел охраны труда,Инженер-программист,52287,1
695,Е. Е. Арина,Ж,1995,2015,Радиоэлектронная аппаратура,Начальник отдела,57163,7
696,О. Я. Плехотина,Ж,1995,2015,Проектирование и верификация программно-математического обеспечения,Начальник отдела,46579,8
697,Е. В. Мухуткнова,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Инженер-программист,45284,10
698,Е. Е. Алешникова,Ж,1995,2015,Проектирование и верификация программно-математического обеспечения,Бухгалтер,51668,8
699,Л. И. Балибаева,Ж,1966,1986,Отдел охраны труда,Инженер-программист,24270,3
700,В. М. Онкина,Ж,1969,1989,Отдел охраны труда,Бухгалтер,48112,10
701,М. В. Бирукова,Ж,1964,1984,Информационно-управляющие системы для самолетов,Бухгалтер,20746,13
702,Д. Ф. Кудышева,Ж,1975,1995,Информационно-управляющие системы для самолетов,Начальник отдела,25393,7
703,К. Д. Арцыбаева,Ж,2001,2021,Информационно-управляющие системы для самолетов,Бухгалтер,36804,17
704,К. И. Езерницкая,Ж,1975,1995,Информационно-управляющие системы для вертолетов,Начальник ТКБ,48389,8
705,И. С. Обернина,Ж,1980,2000,Проектирование и верификация программно-математического обеспечения,Начальник отдела,27103,6
706,Ю. Э. Сквалыгина,Ж,1990,2010,Радиоэлектронная аппаратура,Экономист,39550,6
707,В. А. Фомчинкова,Ж,1968,1988,Информационно-управляющие системы для вертолетов,Экономист,44603,4
708,Е. В. Миракова,Ж,1975,1995,Радиоэлектронная аппаратура,Экономист,53273,15
709,Е. Ф. Ремидова,Ж,2000,2020,Аэрометрические системы воздушных сигналов,Экономист,38015,16
710,С. Н. Маногенова,Ж,1994,2014,Системы автоматизированного управления наземной техникой,Инженер-программист,26786,20
711,Л. Б. Кузикова,Ж,1991,2011,Отдел кадров,Инженер-исследователь,24408,15
712,К. К. Верхотина,Ж,1994,2014,Информационно-управляющие системы для самолетов,Инженер,40263,7
713,П. Б. Горкина,Ж,1978,1998,Проектирование и верификация программно-математического обеспечения,Бухгалтер,46462,4
714,К. Л. Заиграева,Ж,1976,1996,Аэрометрические системы воздушных сигналов,Начальник ТКБ,38946,2
715,П. Е. Брысева,Ж,1995,2015,Радиоэлектронная аппаратура,Начальник отдела,29927,16
716,А. А. Кутолина,Ж,1977,1997,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,29002,19
717,Е. А. Кузовнева,Ж,1969,1989,Радиоэлектронная аппаратура,Бухгалтер,51004,2
718,О. Е. Чубукова,Ж,1998,2018,Отдел кадров,Экономист,40150,7
719,К. М. Оречкина,Ж,1983,2003,Системы автоматизированного управления наземной техникой,Начальник ТКБ,58739,18
720,Е. А. Сизганова,Ж,1987,2007,Проектирование и верификация программно-математического обеспечения,Бухгалтер,47912,9
721,С. Д. Толшмякова,Ж,1993,2013,Аэрометрические системы воздушных сигналов,Бухгалтер,53376,15
722,С. А. Ухолина,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Инженер,30818,14
723,В. А. Маршицкая,Ж,1964,1984,Радиоэлектронная аппаратура,Начальник ТКБ,58950,19
724,И. Р. Корчагина,Ж,1961,1981,Информационно-управляющие системы для вертолетов,Техник,55093,8
725,Л. В. Истротова,Ж,1998,2018,Информационно-управляющие системы для самолетов,Техник,23953,11
726,А. И. Дымбицкая,Ж,1961,1981,Отдел охраны труда,Начальник ТКБ,36511,8
727,К. В. Валялина,Ж,1983,2003,Проектирование и верификация программно-математического обеспечения,Инженер,33426,10
728,А. С. Малова,Ж,1997,2017,Информационно-управляющие системы для вертолетов,Экономист,42670,13
729,Н. В. Корзякова,Ж,1965,1985,Информационно-управляющие системы для вертолетов,Начальник ТКБ,59450,19
730,Е. Е. Тешкина,Ж,2000,2020,Отдел кадров,Бухгалтер,57612,19
731,В. Д. Шалопина,Ж,1978,1998,Отдел охраны труда,Инженер,44817,15
732,К. Ф. Хорохнина,Ж,1968,1988,Информационно-управляющие системы для самолетов,Техник,29661,7
733,К. К. Дуравина,Ж,1984,2004,Проектирование и верификация программно-математического обеспечения,Начальник отдела,52801,6
734,А. В. Голичкова,Ж,1972,1992,Радиоэлектронная аппаратура,Начальник ТКБ,37610,3
735,Р. Е. Евграшкина,Ж,1987,2007,Информационно-управляющие системы для самолетов,Инженер-исследователь,24709,8
736,Я. П. Бартеньева,Ж,1988,2008,Информационно-управляющие системы для вертолетов,Техник,21395,15
737,М. О. Стурманова,Ж,1981,2001,Отдел кадров,Начальник ТКБ,53398,18
738,В. С. Велева,Ж,1979,1999,Радиоэлектронная аппаратура,Начальник ТКБ,59293,1
739,З. Э. Кушанова,Ж,1966,1986,Информационно-управляющие системы для вертолетов,Начальник отдела,44907,10
740,С. И. Подомарева,Ж,1992,2012,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,23833,6
741,Е. Д. Танцерова,Ж,1988,2008,Отдел охраны труда,Техник,30587,15
742,К. К. Насакина,Ж,1968,1988,Системы автоматизированного управления наземной техникой,Бухгалтер,37347,5
743,Е. А. Цорокова,Ж,1989,2009,Проектирование и верификация программно-математического обеспечения,Экономист,25498,12
744,К. Б. Харевская,Ж,1975,1995,Отдел охраны труда,Техник,31732,7
745,О. О. Кожова,Ж,1967,1987,Радиоэлектронная аппаратура,Начальник ТКБ,20389,17
746,Н. В. Осначева,Ж,1966,1986,Информационно-управляющие системы для самолетов,Экономист,59272,16
747,Л. А. Варашева,Ж,1962,1982,Радиоэлектронная аппаратура,Инженер-исследователь,41114,10
748,Ю. К. Понкрина,Ж,1961,1981,Информационно-управляющие системы для вертолетов,Начальник отдела,57826,10
749,В. П. Пенкова,Ж,1981,2001,Системы автоматизированного управления наземной техникой,Инженер-исследователь,22572,8
750,О. Л. Кистова,Ж,1997,2017,Отдел кадров,Начальник отдела,45066,2
751,Л. И. Катищева,Ж,1982,2002,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,44778,7
752,А. К. Шерпанова,Ж,1965,1985,Системы автоматизированного управления наземной техникой,Начальник ТКБ,27688,10
753,С. Б. Кайнарская,Ж,1988,2008,Отдел охраны труда,Начальник отдела,56170,20
754,Н. Э. Ворзова,Ж,1977,1997,Проектирование и верификация программно-математического обеспечения,Инженер-программист,21964,19
755,В. Д. Кандрашова,Ж,1985,2005,Информационно-управляющие системы для вертолетов,Инженер,49709,10
756,И. Д. Близнина,Ж,1981,2001,Радиоэлектронная аппаратура,Инженер-программист,38926,15
757,Н. И. Лахматова,Ж,1978,1998,Радиоэлектронная аппаратура,Бухгалтер,22338,12
758,Е. К. Курныгина,Ж,1973,1993,Отдел охраны труда,Инженер-исследователь,29945,15
759,Н. В. Снытникова,Ж,1967,1987,Системы автоматизированного управления наземной техникой,Начальник отдела,20667,17
760,Ю. Б. Туразова,Ж,1973,1993,Информационно-управляющие системы для вертолетов,Инженер,28073,1
761,П. В. Изусина,Ж,2001,2021,Проектирование и верификация программно-математического обеспечения,Инженер,25068,16
762,И. Д. Верещацкая,Ж,1970,1990,Системы автоматизированного управления наземной техникой,Инженер-исследователь,33199,15
763,К. Л. Кривашеева,Ж,1980,2000,Отдел охраны труда,Инженер-программист,55864,19
764,С. Б. Калинычева,Ж,1964,1984,Отдел кадров,Бухгалтер,36376,20
765,Л. М. Папирова,Ж,1990,2010,Проектирование и верификация программно-математического обеспечения,Начальник отдела,48947,5
766,А. С. Седепкина,Ж,1983,2003,Отдел охраны труда,Экономист,40606,17
767,А. В. Аглиева,Ж,1966,1986,Радиоэлектронная аппаратура,Экономист,36497,19
768,А. В. Филюшкина,Ж,1969,1989,Информационно-управляющие системы для самолетов,Бухгалтер,35660,18
769,К. М. Корочкина,Ж,1968,1988,Информационно-управляющие системы для самолетов,Инженер,31536,5
770,К. А. Бурзовкина,Ж,1968,1988,Отдел охраны труда,Начальник отдела,43279,20
771,К. В. Ганечкина,Ж,1979,1999,Аэрометрические системы воздушных сигналов,Инженер-исследователь,53174,6
772,С. И. Фишерова,Ж,1991,2011,Отдел охраны труда,Начальник ТКБ,35549,11
773,Л. И. Ченская,Ж,1995,2015,Системы автоматизированного управления наземной техникой,Техник,48727,16
774,О. О. Аленовская,Ж,1969,1989,Информационно-управляющие системы для самолетов,Техник,48080,15
775,Е. Л. Номерова,Ж,1984,2004,Информационно-управляющие системы для вертолетов,Техник,23563,7
776,А. Н. Приткина,Ж,1987,2007,Системы автоматизированного управления наземной техникой,Экономист,54765,15
777,К. Б. Куртяева,Ж,1980,2000,Проектирование и верификация программно-математического обеспечения,Начальник отдела,46370,8
778,С. М. Непрошина,Ж,2000,2020,Информационно-управляющие системы для самолетов,Инженер-исследователь,33408,15
779,А. Э. Хижнякова,Ж,1964,1984,Радиоэлектронная аппаратура,Инженер,32144,4
780,Е. М. Тюлякова,Ж,1984,2004,Информационно-управляющие системы для вертолетов,Техник,31794,9
781,Г. А. Паенина,Ж,1975,1995,Отдел кадров,Начальник ТКБ,20295,18
782,А. Н. Шмокова,Ж,1992,2012,Информационно-управляющие системы для самолетов,Инженер-исследователь,44459,9
783,М. Д. Норицина,Ж,1986,2006,Информационно-управляющие системы для самолетов,Начальник отдела,27777,2
784,Е. Ф. Кисторская,Ж,1982,2002,Отдел охраны труда,Начальник ТКБ,42578,11
785,З. Л. Кликова,Ж,1991,2011,Отдел кадров,Инженер-исследователь,37145,17
786,И. С. Кожмякова,Ж,1962,1982,Информационно-управляющие системы для самолетов,Начальник отдела,33466,7
787,П. И. Пандина,Ж,1973,1993,Информационно-управляющие системы для самолетов,Инженер-программист,43130,5
788,С. И. Хритинина,Ж,1985,2005,Отдел кадров,Инженер,59601,19
789,Л. Б. Пянзина,Ж,1999,2019,Аэрометрические системы воздушных сигналов,Экономист,20873,20
790,Д. В. Родоманова,Ж,2001,2021,Информационно-управляющие системы для вертолетов,Инженер,21584,14
791,А. Н. Делицына,Ж,1980,2000,Информационно-управляющие системы для самолетов,Инженер-исследователь,40617,20
792,З. Д. Коморова,Ж,1969,1989,Аэрометрические системы воздушных сигналов,Экономист,24371,15
793,С. А. Зубовская,Ж,1981,2001,Информационно-управляющие системы для вертолетов,Инженер,47607,7
794,Л. А. Денюкова,Ж,1971,1991,Аэрометрические системы воздушных сигналов,Начальник отдела,47231,1
795,О. А. Труничева,Ж,1985,2005,Системы автоматизированного управления наземной техникой,Бухгалтер,51631,16
796,С. С. Барыбина,Ж,1984,2004,Системы автоматизированного управления наземной техникой,Экономист,51034,18
797,А. Я. Лювалина,Ж,1966,1986,Системы автоматизированного управления наземной техникой,Инженер-программист,46347,7
798,А. Д. Шульдешова,Ж,2000,2020,Отдел кадров,Экономист,36007,17
799,Е. Е. Сеева,Ж,1978,1998,Проектирование и верификация программно-математического обеспечения,Техник,41526,9
800,К. Е. Прохладина,Ж,1996,2016,Аэрометрические системы воздушных сигналов,Инженер-программист,29281,2
801,Д. В. Пунанова,Ж,1992,2012,Информационно-управляющие системы для самолетов,Инженер,34331,15
802,А. Н. Мануилова,Ж,1965,1985,Аэрометрические системы воздушных сигналов,Инженер-исследователь,32769,11
803,С. О. Гулянова,Ж,1989,2009,Информационно-управляющие системы для вертолетов,Инженер-программист,42254,7
804,Е. В. Торкова,Ж,1990,2010,Аэрометрические системы воздушных сигналов,Инженер-исследователь,41366,13
805,Л. М. Липина,Ж,1973,1993,Системы автоматизированного управления наземной техникой,Инженер,47094,7
806,А. И. Шеховцова,Ж,1967,1987,Информационно-управляющие системы для самолетов,Инженер-исследователь,32118,9
807,К. В. Лариенкова,Ж,1964,1984,Отдел охраны труда,Инженер-программист,56912,4
808,П. Б. Хабишева,Ж,1986,2006,Отдел кадров,Бухгалтер,30117,16
809,А. К. Мирчева,Ж,1999,2019,Проектирование и верификация программно-математического обеспечения,Бухгалтер,22211,17
810,А. К. Кувалкина,Ж,1984,2004,Аэрометрические системы воздушных сигналов,Экономист,33922,19
811,В. Н. Окнова,Ж,1987,2007,Радиоэлектронная аппаратура,Инженер-программист,46858,4
812,А. Б. Урсегова,Ж,1968,1988,Системы автоматизированного управления наземной техникой,Бухгалтер,55109,12
813,А. В. Пачкова,Ж,2001,2021,Проектирование и верификация программно-математического обеспечения,Техник,36580,19
814,Ю. П. Ряпина,Ж,1977,1997,Отдел кадров,Техник,28428,10
815,Н. Б. Лудковская,Ж,1996,2016,Проектирование и верификация программно-математического обеспечения,Инженер,35807,13
816,К. В. Ладысева,Ж,1997,2017,Системы автоматизированного управления наземной техникой,Инженер-исследователь,45291,15
817,Е. В. Рикусова,Ж,1972,1992,Информационно-управляющие системы для самолетов,Инженер-программист,44322,9
818,Н. М. Шелоухова,Ж,1975,1995,Аэрометрические системы воздушных сигналов,Начальник ТКБ,59523,3
819,К. А. Зелетина,Ж,1997,2017,Отдел охраны труда,Техник,36429,16
820,Л. М. Слышалова,Ж,1973,1993,Радиоэлектронная аппаратура,Инженер-исследователь,32836,5
821,К. П. Багинова,Ж,1993,2013,Информационно-управляющие системы для самолетов,Техник,26032,20
822,Н. Н. Мамишова,Ж,1999,2019,Информационно-управляющие системы для самолетов,Инженер-программист,44504,20
823,К. А. Везовецкая,Ж,1989,2009,Информационно-управляющие системы для самолетов,Начальник ТКБ,21048,4
824,В. Е. Змиренкова,Ж,1963,1983,Радиоэлектронная аппаратура,Инженер,22572,8
825,К. А. Божелова,Ж,1970,1990,Аэрометрические системы воздушных сигналов,Бухгалтер,38813,6
826,М. И. Агнева,Ж,1996,2016,Проектирование и верификация программно-математического обеспечения,Инженер,24080,2
827,Е. Я. Пахункова,Ж,1984,2004,Радиоэлектронная аппаратура,Инженер-исследователь,30892,17
828,В. С. Порекина,Ж,1976,1996,Радиоэлектронная аппаратура,Техник,41488,4
829,К. А. Хосалова,Ж,1983,2003,Информационно-управляющие системы для самолетов,Инженер,57999,2
830,С. Н. Кисанова,Ж,1975,1995,Проектирование и верификация программно-математического обеспечения,Начальник отдела,24123,11
831,Г. М. Литовцева,Ж,1991,2011,Радиоэлектронная аппаратура,Техник,44167,14
832,К. Э. Абаршалина,Ж,1977,1997,Системы автоматизированного управления наземной техникой,Инженер-исследователь,54068,16
833,К. А. Тополева,Ж,2000,2020,Радиоэлектронная аппаратура,Инженер,29398,19
834,Е. Д. Еливанова,Ж,1983,2003,Проектирование и верификация программно-математического обеспечения,Инженер,30524,19
835,А. Л. Гисина,Ж,1969,1989,Аэрометрические системы воздушных сигналов,Инженер,43266,14
836,Л. Я. Вахменцева,Ж,1985,2005,Отдел кадров,Экономист,54044,7
837,О. Б. Хвалева,Ж,1997,2017,Радиоэлектронная аппаратура,Инженер-исследователь,54407,17
838,З. В. Овчалупова,Ж,1969,1989,Информационно-управляющие системы для самолетов,Техник,21820,13
839,К. Д. Накурипова,Ж,1990,2010,Информационно-управляющие системы для самолетов,Инженер,33176,10
840,Е. Л. Лавритова,Ж,1970,1990,Радиоэлектронная аппаратура,Начальник ТКБ,43391,11
841,Е. Е. Саленцова,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Экономист,42276,5
842,И. Н. Буценова,Ж,1992,2012,Отдел охраны труда,Начальник отдела,46229,19
843,Р. Н. Пустошкина,Ж,1970,1990,Аэрометрические системы воздушных сигналов,Бухгалтер,21465,12
844,К. Б. Петенкова,Ж,1995,2015,Информационно-управляющие системы для вертолетов,Инженер,20628,5
845,И. В. Рохманова,Ж,1963,1983,Радиоэлектронная аппаратура,Начальник ТКБ,31968,2
846,К. М. Эджумова,Ж,1996,2016,Отдел охраны труда,Начальник отдела,32340,8
847,Л. И. Мучкова,Ж,1983,2003,Аэрометрические системы воздушных сигналов,Инженер-исследователь,49821,6
848,Н. А. Паспехова,Ж,1973,1993,Отдел кадров,Инженер,57995,15
849,Л. М. Ратницкая,Ж,1998,2018,Проектирование и верификация программно-математического обеспечения,Начальник отдела,26063,19
850,А. А. Сонцева,Ж,1993,2013,Отдел кадров,Инженер,27656,7
851,И. М. Тумакова,Ж,1988,2008,Информационно-управляющие системы для вертолетов,Начальник ТКБ,37589,6
852,А. А. Калетина,Ж,1978,1998,Информационно-управляющие системы для самолетов,Инженер,53557,7
853,Л. Б. Корщикова,Ж,1984,2004,Информационно-управляющие системы для вертолетов,Экономист,39426,1
854,Р. И. Бедачева,Ж,1977,1997,Информационно-управляющие системы для самолетов,Инженер,46719,8
855,Н. К. Пахомкина,Ж,1963,1983,Системы автоматизированного управления наземной техникой,Инженер-исследователь,20953,16
856,Л. М. Пацюкова,Ж,1996,2016,Информационно-управляющие системы для самолетов,Экономист,59386,6
857,М. Л. Катекова,Ж,1990,2010,Проектирование и верификация программно-математического обеспечения,Техник,20349,7
858,Н. А. Плакучева,Ж,1989,2009,Проектирование и верификация программно-математического обеспечения,Инженер,41142,9
859,Е. В. Реужская,Ж,1984,2004,Проектирование и верификация программно-математического обеспечения,Техник,41785,9
860,Л. М. Кеженова,Ж,1961,1981,Радиоэлектронная аппаратура,Инженер,22934,5
861,Е. Л. Крохотова,Ж,1972,1992,Проектирование и верификация программно-математического обеспечения,Начальник отдела,29212,18
862,Е. А. Заулошнова,Ж,1981,2001,Системы автоматизированного управления наземной техникой,Бухгалтер,27869,6
863,М. А. Кулягина,Ж,1997,2017,Информационно-управляющие системы для вертолетов,Инженер,43133,15
864,Е. Э. Хажилина,Ж,1973,1993,Отдел охраны труда,Начальник отдела,28628,17
865,С. В. Шиченкова,Ж,1963,1983,Отдел охраны труда,Бухгалтер,52757,3
866,А. Е. Комонова,Ж,1991,2011,Радиоэлектронная аппаратура,Начальник ТКБ,59768,7
867,Е. В. Курнакова,Ж,1988,2008,Аэрометрические системы воздушных сигналов,Экономист,55504,7
